trade_date,open,high,low,close,volume
2023-01-01 16:00:00,16560.0,16768.4,16548.1,16735.5,3257.52950719
2023-01-02 16:00:00,16735.4,16799.3,16621.3,16679.8,2144.85966934
2023-01-03 16:00:00,16679.8,16915.3,16610.4,16855.0,4597.43660089
2023-01-04 16:00:00,16855.8,16988.0,16760.1,16846.8,3042.75442941
2023-01-05 16:00:00,16846.8,16876.7,16680.7,16843.2,3511.94165949
2023-01-06 16:00:00,16843.3,17034.5,16809.9,16941.1,2571.86201434
2023-01-07 16:00:00,16941.1,17019.2,16915.0,17000.8,1235.96267323
2023-01-08 16:00:00,17000.8,17333.0,16921.3,17273.5,5665.21354097
2023-01-09 16:00:00,17273.4,17395.7,17133.3,17323.7,4661.08172156
2023-01-10 16:00:00,17324.6,17502.8,17282.9,17334.7,4430.01845335
2023-01-11 16:00:00,17334.5,18379.9,17328.7,18087.7,14679.48036413
2023-01-12 16:00:00,18087.0,19306.4,18060.4,19260.2,14013.12933241
2023-01-13 16:00:00,19260.2,21482.8,19060.4,20792.4,27657.60481305
2023-01-14 16:00:00,20788.5,21079.9,20555.3,20911.7,8300.09137491
2023-01-15 16:00:00,20911.7,21431.8,20603.0,20993.9,11507.39813844
2023-01-16 16:00:00,20993.9,21634.5,20839.7,21173.4,12363.27948749
2023-01-17 16:00:00,21173.4,21664.6,20837.9,21035.1,11215.71850269
2023-01-18 16:00:00,21035.1,21135.6,20400.0,20873.8,13354.88810985
2023-01-19 16:00:00,20873.9,21245.5,20792.5,21144.9,3760.75339876
2023-01-20 16:00:00,21145.0,23327.8,21143.6,22996.0,16185.0498044
2023-01-21 16:00:00,22995.5,23379.0,22610.3,22788.7,8640.23456418
2023-01-22 16:00:00,22788.7,23123.2,22306.6,22852.0,8692.65624071
2023-01-23 16:00:00,22852.1,23185.2,22658.0,22928.1,6513.00931626
2023-01-24 16:00:00,22928.2,23083.8,22332.1,22579.1,7568.28582494
2023-01-25 16:00:00,22579.2,23818.7,22518.3,22958.1,11442.10480958
2023-01-26 16:00:00,22957.7,23164.7,22526.3,22934.4,7462.68200547
2023-01-27 16:00:00,22933.3,23500.0,22879.4,23013.3,5450.11074822
2023-01-28 16:00:00,23013.8,23652.4,22943.1,23527.0,6650.74889002
2023-01-29 16:00:00,23526.9,23963.0,22959.7,23176.2,9151.56788494
2023-01-30 16:00:00,23176.2,23244.7,22483.0,23122.3,7964.66242283
2023-01-31 16:00:00,23123.5,23347.7,22819.0,22984.1,4549.46768409
2023-02-01 16:00:00,22984.0,24252.7,22756.0,23838.2,12792.19847646
2023-02-02 16:00:00,23843.9,24148.1,23221.0,23601.0,8110.86133046
2023-02-03 16:00:00,23603.6,23722.5,23211.0,23420.4,3347.99769589
2023-02-04 16:00:00,23420.4,23469.1,23008.0,23099.2,3786.35724739
2023-02-05 16:00:00,23099.1,23159.6,22617.6,23042.1,6093.53784381
2023-02-06 16:00:00,23044.0,23158.5,22638.0,22909.1,3619.55907255
2023-02-07 16:00:00,22909.1,23457.1,22768.2,22869.9,6426.2342355
2023-02-08 16:00:00,22866.3,23049.9,22358.0,22614.7,7747.46516046
