timestamp,ret,equity,drawdown,benchmark_equity,active_ret
2022-06-13 00:00:00,0.0,1000000.0,0.0,1000000.0,0.0
2022-06-13 04:00:00,0.0,1000000.0,0.0,958980.1629631226,0.04101983703687743
2022-06-13 08:00:00,0.0,1000000.0,0.0,918466.1637488612,0.042246962741208906
2022-06-13 12:00:00,0.0,1000000.0,0.0,929988.1723592649,-0.012544837322449487
2022-06-13 16:00:00,0.0,1000000.0,0.0,933213.9825892615,-0.003468657264546852
2022-06-13 20:00:00,0.0,1000000.0,0.0,921938.8364032619,0.01208205877361157
2022-06-14 00:00:00,0.0,1000000.0,0.0,911941.1214652547,0.010844227993487165
2022-06-14 04:00:00,0.0,1000000.0,0.0,961018.481989868,-0.05381636968597118
2022-06-14 08:00:00,0.0,1000000.0,0.0,911540.1774711875,0.05148527884316182
2022-06-14 12:00:00,0.0,1000000.0,0.0,961214.4467139707,-0.05449487633182611
2022-06-14 16:00:00,0.0,1000000.0,0.0,926179.2994278382,0.03644883553915005
2022-06-14 20:00:00,0.0,1000000.0,0.0,927699.2610281531,-0.0016411094495999794
2022-06-15 00:00:00,0.0,1000000.0,0.0,901028.1670407929,0.028749719987704925
2022-06-15 04:00:00,0.0,1000000.0,0.0,858434.4847956974,0.04727230934964455
2022-06-15 08:00:00,0.0,1000000.0,0.0,884568.0627497578,-0.030443299304640625
2022-06-15 12:00:00,0.0,1000000.0,0.0,894110.64111266,-0.010787839584936343
2022-06-15 16:00:00,0.0,1000000.0,0.0,930763.4301881014,-0.040993572148777226
2022-06-15 20:00:00,0.0,1000000.0,0.0,993947.0740092567,-0.06788367674521349
2022-06-16 00:00:00,0.0,1000000.0,0.0,972020.2490349192,0.022060354668475186
2022-06-16 04:00:00,0.0,1000000.0,0.0,942153.0731481854,0.030726907095184258
2022-06-16 08:00:00,0.0,1000000.0,0.0,904618.6523515151,0.03983898356479354
2022-06-16 12:00:00,0.0,1000000.0,0.0,906086.7789277342,-0.0016229231758628042
2022-06-16 16:00:00,0.0,1000000.0,0.0,894127.1901294471,0.013199164888422765
2022-06-16 20:00:00,0.0,1000000.0,0.0,872411.5345049556,0.024286987202958965
2022-06-17 00:00:00,0.0,1000000.0,0.0,872159.5651846469,0.00028881933622271205
2022-06-17 04:00:00,0.0,1000000.0,0.0,904711.0444125293,-0.03732284839528299
2022-06-17 08:00:00,0.0,1000000.0,0.0,901361.0294190649,0.0037028563032961057
2022-06-17 12:00:00,0.0,1000000.0,0.0,891080.4788851464,0.011405585773487862
2022-06-17 16:00:00,0.0,1000000.0,0.0,887124.5491805217,0.004439475219538025
2022-06-17 20:00:00,0.0,1000000.0,0.0,884197.1921672921,0.00329982640648796
2022-06-18 00:00:00,0.0,1000000.0,0.0,875902.8758496604,0.00938061825021319
2022-06-18 04:00:00,0.0,1000000.0,0.0,822884.8464704145,0.060529575642523516
2022-06-18 08:00:00,0.0,1000000.0,0.0,837656.5520631424,-0.017951121175809586
2022-06-18 12:00:00,0.0,1000000.0,0.0,827464.9725565425,0.012166775848046596
2022-06-18 16:00:00,0.0,1000000.0,0.0,777735.7930794869,0.06009822908081763
2022-06-18 20:00:00,0.0,1000000.0,0.0,849541.9885747089,-0.0923272352052893
2022-06-19 00:00:00,0.0,1000000.0,0.0,811592.0583003839,0.04467104720508793
2022-06-19 04:00:00,0.0,1000000.0,0.0,803237.2918395766,0.010294293019948405
2022-06-19 08:00:00,0.0,1000000.0,0.0,880915.7278846928,-0.09670671025148359
2022-06-19 12:00:00,0.0,1000000.0,0.0,897170.6933032055,-0.01845235009885123
2022-06-19 16:00:00,0.0,1000000.0,0.0,907412.2026637257,-0.011415340956817252
2022-06-19 20:00:00,0.0,1000000.0,0.0,930881.5492480014,-0.02586404118809608
2022-06-20 00:00:00,0.0,1000000.0,0.0,891135.5945640812,0.042697112985028284
2022-06-20 04:00:00,0.0,1000000.0,0.0,893257.4342999995,-0.0023810514907735003
2022-06-20 08:00:00,0.0,1000000.0,0.0,960813.3041325203,-0.07562866788280471
2022-06-20 12:00:00,0.0,1000000.0,0.0,946912.2440581643,0.014468013728126524
2022-06-20 16:00:00,0.0,1000000.0,0.0,920353.1668756744,0.028048087189860627
2022-06-20 20:00:00,0.0,1000000.0,0.0,941034.3629694238,-0.02247093489552047
2022-06-21 00:00:00,0.0,1000000.0,0.0,941808.578859456,-0.0008227286064126371
2022-06-21 04:00:00,0.0,1000000.0,0.0,969092.8060837805,-0.028970034714873878
2022-06-21 08:00:00,0.0,1000000.0,0.0,967537.8393101089,0.001604559195888829
2022-06-21 12:00:00,0.0,1000000.0,0.0,988498.2094806096,-0.021663618019783337
