ts,open,high,low,close,volume
2022-06-13 00:00:00,1435.19,1455.55,1303.09,1351.53,120598.949405
2022-06-13 04:00:00,1351.26,1387.03,1262.12,1283.22,126527.876559
2022-06-13 08:00:00,1283.23,1288.99,1178.34,1209.39,225797.356919
2022-06-13 12:00:00,1209.28,1257.98,1164.4,1229.9,200508.629815
2022-06-13 16:00:00,1229.89,1280.0,1208.78,1228.04,108136.788337
2022-06-13 20:00:00,1227.7,1283.91,1168.48,1209.51,67245.169703
2022-06-14 00:00:00,1209.82,1224.82,1075.02,1174.11,183651.788741
2022-06-14 04:00:00,1174.0,1254.62,1136.01,1240.78,182592.369398
2022-06-14 08:00:00,1240.84,1243.48,1155.11,1175.16,115866.449953
2022-06-14 12:00:00,1175.2,1260.0,1158.0,1250.71,119013.810954
2022-06-14 16:00:00,1250.7,1269.21,1195.08,1205.82,52595.498625
2022-06-14 20:00:00,1205.88,1221.59,1159.01,1208.89,38805.049375
2022-06-15 00:00:00,1208.89,1232.0,1169.11,1173.28,41792.639926
2022-06-15 04:00:00,1173.28,1175.37,1082.02,1094.0,151046.030939
2022-06-15 08:00:00,1094.34,1137.46,1012.17,1119.64,206011.43308
2022-06-15 12:00:00,1119.7,1160.0,1095.0,1120.21,127463.429267
2022-06-15 16:00:00,1120.21,1225.78,1043.69,1170.92,301371.330966
2022-06-15 20:00:00,1171.05,1250.0,1153.74,1237.76,65879.251777
2022-06-16 00:00:00,1237.69,1257.78,1202.0,1210.0,48346.122925
2022-06-16 04:00:00,1209.98,1218.43,1155.72,1165.09,35578.786022
2022-06-16 08:00:00,1165.1,1180.7,1093.0,1111.58,49440.987222
2022-06-16 12:00:00,1111.25,1152.53,1081.61,1114.5,76351.177873
2022-06-16 16:00:00,1114.39,1134.21,1092.8,1096.4,40680.72901
2022-06-16 20:00:00,1095.96,1119.27,1052.0,1068.42,34873.366367
2022-06-17 00:00:00,1068.43,1117.4,1051.13,1071.53,43633.911952
2022-06-17 04:00:00,1071.52,1118.0,1067.78,1098.97,35712.821246
2022-06-17 08:00:00,1098.96,1113.06,1086.26,1092.8,31456.286153
2022-06-17 12:00:00,1092.79,1101.94,1064.47,1085.0,41536.482473
2022-06-17 16:00:00,1084.81,1093.9,1071.61,1080.02,17513.657226
2022-06-17 20:00:00,1079.93,1099.9,1075.3,1086.59,18400.061161
2022-06-18 00:00:00,1086.62,1097.65,1071.7,1079.07,17239.033427
2022-06-18 04:00:00,1079.09,1083.36,986.27,1003.52,85772.032937
2022-06-18 08:00:00,1003.74,1019.2,974.72,1005.02,71730.582584
2022-06-18 12:00:00,1005.04,1008.71,987.89,989.96,24677.161809
2022-06-18 16:00:00,989.96,999.93,912.84,914.93,85924.533286
2022-06-18 20:00:00,915.24,1015.76,881.0,995.2,121276.959615
2022-06-19 00:00:00,995.06,1009.64,940.73,953.19,68563.500983
2022-06-19 04:00:00,953.25,973.33,936.1,955.81,51676.863964
2022-06-19 08:00:00,955.63,1079.55,952.98,1054.87,142285.225402
2022-06-19 12:00:00,1054.96,1077.78,1018.48,1071.55,79182.670359
2022-06-19 16:00:00,1071.38,1133.54,1042.64,1100.12,83229.675274
2022-06-19 20:00:00,1100.21,1159.0,1097.91,1128.17,64401.939401
2022-06-20 00:00:00,1128.06,1132.8,1052.56,1079.93,51216.02636
2022-06-20 04:00:00,1079.93,1092.3,1060.25,1079.83,32206.873661
2022-06-20 08:00:00,1079.68,1170.57,1076.81,1152.8,82256.036584
2022-06-20 12:00:00,1152.81,1154.19,1107.12,1134.44,59523.510728
2022-06-20 16:00:00,1134.45,1137.15,1082.81,1106.67,40650.911151
2022-06-20 20:00:00,1106.53,1138.52,1090.9,1128.51,23542.842621
2022-06-21 00:00:00,1128.5,1143.93,1109.21,1130.58,35281.629168
2022-06-21 04:00:00,1130.82,1164.7,1118.39,1148.34,58010.240849
2022-06-21 08:00:00,1148.1,1178.0,1136.63,1141.97,49597.138112
2022-06-21 12:00:00,1141.55,1193.74,1135.17,1168.18,72396.148505
2022-06-21 16:00:00,1168.18,1175.15,1122.5,1124.46,36452.091942
2022-06-21 20:00:00,1124.56,1141.47,1113.18,1126.1,22253.658561
2022-06-22 00:00:00,1125.98,1127.4,1086.22,1089.34,38302.310761
2022-06-22 04:00:00,1089.33,1106.83,1066.6,1075.4,44940.268135
2022-06-22 08:00:00,1075.3,1106.49,1069.83,1097.29,28063.589928
2022-06-22 12:00:00,1097.32,1124.82,1070.27,1075.09,58582.130829
2022-06-22 16:00:00,1075.14,1088.83,1053.88,1070.87,38568.372493
2022-06-22 20:00:00,1070.77,1074.65,1043.34,1050.12,28572.817459
2022-06-23 00:00:00,1050.12,1098.41,1045.0,1076.41,35356.652955
2022-06-23 04:00:00,1076.35,1110.38,1072.0,1091.67,26994.470972
2022-06-23 08:00:00,1091.66,1120.0,1091.06,1106.51,24196.553117
2022-06-23 12:00:00,1106.49,1131.0,1086.82,1093.96,45213.801142
2022-06-23 16:00:00,1093.98,1127.68,1082.29,1126.69,34165.765701
2022-06-23 20:00:00,1126.49,1154.19,1119.84,1144.41,44180.566608
2022-06-24 00:00:00,1144.27,1168.16,1140.68,1150.13,34378.02617
2022-06-24 04:00:00,1150.09,1161.57,1131.0,1148.02,37447.701079
2022-06-24 08:00:00,1148.2,1206.0,1142.93,1195.54,68568.656053
2022-06-24 12:00:00,1195.54,1226.9,1190.0,1198.05,88786.597631
2022-06-24 16:00:00,1198.05,1234.51,1183.99,1228.01,74182.341003
2022-06-24 20:00:00,1228.12,1245.95,1215.0,1224.85,60146.917799
2022-06-25 00:00:00,1225.0,1227.41,1204.42,1223.73,47143.98399
2022-06-25 04:00:00,1223.73,1239.5,1210.39,1234.44,52211.055196
2022-06-25 08:00:00,1234.47,1242.45,1212.76,1217.15,31411.342298
2022-06-25 12:00:00,1217.17,1219.56,1182.0,1184.42,39823.176797
2022-06-25 16:00:00,1184.12,1214.52,1180.09,1205.5,41065.128473
2022-06-25 20:00:00,1205.53,1257.0,1201.53,1241.98,30814.751559
2022-06-26 00:00:00,1241.94,1245.96,1227.45,1233.05,26046.348664
2022-06-26 04:00:00,1233.18,1252.0,1232.3,1238.35,23495.905483
2022-06-26 08:00:00,1238.34,1278.0,1235.56,1269.67,49000.675111
2022-06-26 12:00:00,1269.7,1280.0,1211.72,1223.6,73477.906572
2022-06-26 16:00:00,1223.52,1233.66,1210.24,1226.08,21952.192943
2022-06-26 20:00:00,1226.08,1251.91,1195.0,1198.02,34428.043241
2022-06-27 00:00:00,1198.02,1226.66,1195.87,1219.63,30869.33536
2022-06-27 04:00:00,1219.71,1237.49,1212.73,1227.64,18311.802867
2022-06-27 08:00:00,1227.64,1239.32,1216.85,1219.74,28350.239165
2022-06-27 12:00:00,1219.73,1223.95,1174.67,1187.67,65398.309649
2022-06-27 16:00:00,1187.56,1211.69,1173.01,1197.08,44469.857568
2022-06-27 20:00:00,1196.93,1219.5,1189.32,1192.31,22808.192415
2022-06-28 00:00:00,1192.31,1199.69,1161.83,1181.88,37598.163153
2022-06-28 04:00:00,1181.89,1215.0,1178.93,1207.66,27642.414701
2022-06-28 08:00:00,1207.75,1233.89,1203.33,1224.0,71115.18188
2022-06-28 12:00:00,1224.0,1239.85,1182.0,1183.61,54696.149946
2022-06-28 16:00:00,1183.61,1194.79,1152.33,1156.61,54737.354201
2022-06-28 20:00:00,1156.58,1168.83,1136.01,1144.19,49730.036596
2022-06-29 00:00:00,1144.11,1157.32,1133.0,1145.34,36133.06511
2022-06-29 04:00:00,1145.34,1155.32,1114.59,1130.78,61517.086263
2022-06-29 08:00:00,1130.78,1142.84,1102.51,1118.05,57493.518555
2022-06-29 12:00:00,1118.05,1124.41,1090.3,1114.27,66825.844392
2022-06-29 16:00:00,1114.27,1119.6,1087.0,1118.5,79800.982009
