ts,open,high,low,close,volume,funding
2022-06-13 00:00:00,26582.3,26895.9,24877.1,25512.5,81866.9,-4.47633873021e-05
2022-06-13 04:00:00,25510.1,26257.3,24550.0,24808.4,69000.98,-4.47633873021e-05
2022-06-13 08:00:00,24805.7,24933.9,23476.4,23724.4,97399.52,-4.47633873021e-05
2022-06-13 12:00:00,23722.3,24380.0,22578.5,23270.8,99461.53,-4.47633873021e-05
2022-06-13 16:00:00,23275.0,24244.8,23101.7,23214.5,54614.58,-4.47633873021e-05
2022-06-13 20:00:00,23220.5,23791.6,21910.1,22478.0,44583.82,-4.47633873021e-05
2022-06-14 00:00:00,22479.4,22799.5,20827.4,22114.6,103350.55,-4.47633873021e-05
2022-06-14 04:00:00,22114.4,23374.3,21763.5,22874.1,93679.63,-4.47633873021e-05
2022-06-14 08:00:00,22877.5,23003.2,21722.0,21995.8,42666.04,-4.47633873021e-05
2022-06-14 12:00:00,21995.9,22848.6,21808.4,22691.7,58266.63,-4.47633873021e-05
2022-06-14 16:00:00,22689.4,22782.4,22117.9,22187.4,27000.27,-4.47633873021e-05
2022-06-14 20:00:00,22192.9,22343.5,21345.4,22139.1,33306.34,-4.47633873021e-05
2022-06-15 00:00:00,22139.1,22308.5,21400.0,21456.6,28655.23,-4.47633873021e-05
2022-06-15 04:00:00,21454.6,21495.4,20628.9,20722.9,75923.33,-4.47633873021e-05
2022-06-15 08:00:00,20722.9,21298.0,20080.0,21172.0,85032.36,-4.47633873021e-05
2022-06-15 12:00:00,21177.8,21800.0,21041.2,21421.7,57302.92,-4.47633873021e-05
2022-06-15 16:00:00,21421.8,22475.4,20231.6,21636.7,141911.88,-4.47633873021e-05
2022-06-15 20:00:00,21636.7,22810.0,21447.5,22586.4,34679.13,-4.47633873021e-05
2022-06-16 00:00:00,22583.6,23000.0,22165.0,22210.1,28125.17,-4.47633873021e-05
2022-06-16 04:00:00,22205.5,22360.6,21641.4,21763.7,26036.88,-4.47633873021e-05
2022-06-16 08:00:00,21758.3,21888.8,20854.1,21040.2,48863.49,-4.47633873021e-05
2022-06-16 12:00:00,21040.1,21508.0,20750.0,21080.2,47714.62,-4.47633873021e-05
2022-06-16 16:00:00,21080.1,21477.3,20813.2,20883.4,29053.35,-4.47633873021e-05
2022-06-16 20:00:00,20878.8,21050.0,20210.0,20397.2,26320.1,-4.47633873021e-05
2022-06-17 00:00:00,20398.5,21059.9,20233.2,20380.1,37615.15,-4.47633873021e-05
2022-06-17 04:00:00,20380.0,21300.0,20320.0,21099.4,35596.66,-4.47633873021e-05
2022-06-17 08:00:00,21099.5,21368.8,20850.0,20979.2,28491.72,-4.47633873021e-05
2022-06-17 12:00:00,20979.2,21055.0,20388.8,20667.9,42989.36,-4.47633873021e-05
2022-06-17 16:00:00,20667.9,20799.3,20439.1,20520.5,18526.56,-4.47633873021e-05
2022-06-17 20:00:00,20517.3,20729.7,20365.0,20469.8,10340.49,-4.47633873021e-05
2022-06-18 00:00:00,20468.7,20778.0,20310.0,20459.8,21384.71,-4.47633873021e-05
2022-06-18 04:00:00,20459.7,20540.7,19026.2,19262.8,60461.11,-4.47633873021e-05
2022-06-18 08:00:00,19261.6,19544.3,18704.1,19252.0,54622.02,-4.47633873021e-05
2022-06-18 12:00:00,19248.3,19290.0,18924.6,18958.5,20881.06,-4.47633873021e-05
2022-06-18 16:00:00,18956.4,19099.0,18031.7,18071.2,52236.84,-4.47633873021e-05
2022-06-18 20:00:00,18069.9,19500.0,17580.0,18972.5,77328.12,-4.47633873021e-05
2022-06-19 00:00:00,18971.8,19208.6,18222.2,18313.0,36347.44,-4.47633873021e-05
2022-06-19 04:00:00,18311.3,18627.5,17954.1,18307.2,37198.87,-4.47633873021e-05
2022-06-19 08:00:00,18308.4,20100.0,18264.5,19690.0,70058.66,-4.47633873021e-05
2022-06-19 12:00:00,19690.0,19950.0,19117.0,19823.6,46576.14,-4.47633873021e-05
2022-06-19 16:00:00,19823.6,20351.9,19368.8,20126.9,35071.65,-4.47633873021e-05
2022-06-19 20:00:00,20128.3,20850.0,20055.0,20571.1,34890.09,-4.47633873021e-05
2022-06-20 00:00:00,20570.9,20664.5,19635.0,19974.9,33893.96,-4.47633873021e-05
2022-06-20 04:00:00,19974.4,20272.4,19768.0,20076.2,23155.31,-4.47633873021e-05
2022-06-20 08:00:00,20080.3,21043.9,20020.0,20799.4,56277.57,-4.47633873021e-05
2022-06-20 12:00:00,20799.3,21112.6,20360.0,20825.0,42563.9,-4.47633873021e-05
2022-06-20 16:00:00,20825.0,20831.5,19835.2,20082.4,36571.6,-4.47633873021e-05
2022-06-20 20:00:00,20082.7,20795.6,20004.8,20580.8,22162.35,-4.47633873021e-05
2022-06-21 00:00:00,20579.1,20796.6,20350.8,20610.5,24873.48,-4.47633873021e-05
2022-06-21 04:00:00,20610.6,21320.0,20470.0,21109.7,42464.77,-4.47633873021e-05
2022-06-21 08:00:00,21109.8,21480.0,20913.8,20963.5,39713.67,-4.47633873021e-05
2022-06-21 12:00:00,20961.7,21749.2,20851.0,21396.5,47629.46,-4.47633873021e-05
2022-06-21 16:00:00,21396.5,21558.0,20875.0,20893.5,23173.99,-4.47633873021e-05
2022-06-21 20:00:00,20891.2,21083.7,20553.0,20723.4,22258.55,-4.47633873021e-05
2022-06-22 00:00:00,20727.1,20741.1,20253.5,20316.0,27418.13,-4.47633873021e-05
2022-06-22 04:00:00,20317.4,20596.9,19958.0,20100.3,31609.68,-4.47633873021e-05
2022-06-22 08:00:00,20099.1,20673.6,20038.4,20502.1,24644.12,-4.47633873021e-05
2022-06-22 12:00:00,20502.2,20897.5,20028.0,20088.1,54560.26,-4.47633873021e-05
2022-06-22 16:00:00,20088.8,20380.0,19835.8,20117.9,37088.78,-4.47633873021e-05
2022-06-22 20:00:00,20115.2,20256.4,19755.4,19993.4,22906.93,-4.47633873021e-05
2022-06-23 00:00:00,19993.4,20614.3,19887.1,20213.4,30415.47,-4.47633873021e-05
2022-06-23 04:00:00,20213.4,20652.3,20160.0,20454.8,23667.9,-4.47633873021e-05
2022-06-23 08:00:00,20454.8,20810.0,20448.7,20640.6,26465.32,-4.47633873021e-05
2022-06-23 12:00:00,20640.5,20837.1,20282.7,20354.3,35938.74,-4.47633873021e-05
2022-06-23 16:00:00,20354.3,20951.7,20164.8,20914.2,25170.08,-4.47633873021e-05
2022-06-23 20:00:00,20912.4,21246.5,20670.0,21106.9,33192.58,-4.47633873021e-05
2022-06-24 00:00:00,21107.0,21367.1,20966.8,21074.0,23053.51,-4.47633873021e-05
2022-06-24 04:00:00,21074.0,21170.0,20728.0,20909.7,22114.29,-4.47633873021e-05
2022-06-24 08:00:00,20909.8,21333.0,20738.0,21171.0,29870.69,-4.47633873021e-05
2022-06-24 12:00:00,21171.0,21468.1,20824.2,20892.8,40734.98,-4.47633873021e-05
2022-06-24 16:00:00,20888.2,21266.5,20790.0,21250.8,24670.92,-4.47633873021e-05
2022-06-24 20:00:00,21253.0,21562.9,21141.3,21237.8,18746.98,-4.47633873021e-05
2022-06-25 00:00:00,21237.2,21382.2,21130.0,21302.8,18030.81,-4.47633873021e-05
2022-06-25 04:00:00,21302.9,21632.0,21179.9,21503.7,20298.99,-4.47633873021e-05
2022-06-25 08:00:00,21503.8,21555.5,21318.0,21340.3,14490.69,-4.47633873021e-05
2022-06-25 12:00:00,21339.9,21380.2,20888.0,20963.1,25072.66,-4.47633873021e-05
2022-06-25 16:00:00,20963.1,21298.8,20920.0,21205.9,12533.96,-4.47633873021e-05
2022-06-25 20:00:00,21205.8,21599.0,21131.7,21489.6,14510.28,-4.47633873021e-05
2022-06-26 00:00:00,21489.7,21550.0,21270.0,21422.0,12804.07,-4.47633873021e-05
2022-06-26 04:00:00,21424.3,21526.2,21335.9,21399.9,11544.16,-4.47633873021e-05
2022-06-26 08:00:00,21397.8,21825.8,21359.0,21707.8,18276.94,-4.47633873021e-05
2022-06-26 12:00:00,21707.9,21890.0,21191.7,21327.2,33896.81,-4.47633873021e-05
2022-06-26 16:00:00,21326.2,21449.4,21122.0,21282.4,13408.07,-4.47633873021e-05
2022-06-26 20:00:00,21282.4,21428.5,20950.0,21038.1,18399.82,-4.47633873021e-05
2022-06-27 00:00:00,21038.1,21199.5,20925.1,21167.6,13674.21,-4.47633873021e-05
2022-06-27 04:00:00,21167.6,21397.7,21143.0,21358.0,14282.43,-4.47633873021e-05
2022-06-27 08:00:00,21357.9,21550.0,21286.5,21304.7,16619.13,-4.47633873021e-05
2022-06-27 12:00:00,21306.4,21348.3,20588.0,20759.0,43684.6,-4.47633873021e-05
2022-06-27 16:00:00,20757.1,20964.0,20419.7,20856.5,20861.65,-4.47633873021e-05
2022-06-27 20:00:00,20856.4,20965.2,20676.9,20740.4,11957.09,-4.47633873021e-05
2022-06-28 00:00:00,20740.6,20875.3,20481.8,20733.9,21180.45,-4.47633873021e-05
2022-06-28 04:00:00,20732.4,20935.0,20697.0,20878.7,17030.22,-4.47633873021e-05
2022-06-28 08:00:00,20880.2,21222.0,20866.0,21000.0,26625.61,-4.47633873021e-05
2022-06-28 12:00:00,21000.0,21137.2,20590.0,20611.8,31044.22,-4.47633873021e-05
2022-06-28 16:00:00,20611.7,20769.9,20196.7,20255.2,26516.95,-4.47633873021e-05
2022-06-28 20:00:00,20255.5,20457.6,20198.5,20280.9,13377.01,-4.47633873021e-05
2022-06-29 00:00:00,20280.9,20400.0,20145.2,20284.1,16337.14,-4.47633873021e-05
2022-06-29 04:00:00,20284.1,20380.0,19900.0,20094.5,34765.7,-4.47633873021e-05
2022-06-29 08:00:00,20094.5,20246.0,19850.0,20107.2,27115.25,-4.47633873021e-05
