ts,open,high,low,close,volume,funding
2022-06-13 00:00:00,1435.25,1455.61,1303.0,1351.14,2139073.6,1.29485820983e-05
2022-06-13 04:00:00,1351.05,1386.66,1260.6,1283.46,1949164.0,1.29485820983e-05
2022-06-13 08:00:00,1283.14,1289.34,1175.43,1209.02,3465162.1,1.29485820983e-05
2022-06-13 12:00:00,1208.98,1258.0,1163.27,1229.43,2634024.6,1.29485820983e-05
2022-06-13 16:00:00,1229.53,1282.29,1208.09,1228.43,1369101.4,1.29485820983e-05
2022-06-13 20:00:00,1228.41,1283.99,1168.27,1209.65,993330.9,1.29485820983e-05
2022-06-14 00:00:00,1209.77,1225.0,1073.9,1173.12,2684691.0,1.29485820983e-05
2022-06-14 04:00:00,1173.14,1255.0,1135.3,1240.79,2243314.9,1.29485820983e-05
2022-06-14 08:00:00,1240.59,1243.34,1154.3,1175.11,1341194.7,1.29485820983e-05
2022-06-14 12:00:00,1175.12,1262.43,1157.5,1250.36,1790809.9,1.29485820983e-05
2022-06-14 16:00:00,1250.14,1270.81,1194.5,1205.73,845761.9,1.29485820983e-05
2022-06-14 20:00:00,1205.93,1221.67,1158.0,1209.4,686442.3,1.29485820983e-05
2022-06-15 00:00:00,1209.27,1232.0,1168.23,1173.61,815076.4,1.29485820983e-05
2022-06-15 04:00:00,1173.56,1175.93,1080.36,1094.12,2036559.4,1.29485820983e-05
2022-06-15 08:00:00,1094.31,1134.18,1013.0,1119.68,2964634.2,1.29485820983e-05
2022-06-15 12:00:00,1119.68,1160.0,1093.78,1120.07,1829332.4,1.29485820983e-05
2022-06-15 16:00:00,1120.17,1230.0,1042.7,1170.91,3263596.8,1.29485820983e-05
2022-06-15 20:00:00,1171.0,1252.31,1153.2,1237.4,867492.4,1.29485820983e-05
2022-06-16 00:00:00,1237.18,1257.7,1202.0,1209.73,772048.1,1.29485820983e-05
2022-06-16 04:00:00,1209.73,1218.6,1155.74,1165.07,855270.8,1.29485820983e-05
2022-06-16 08:00:00,1165.07,1180.93,1091.28,1110.76,1320923.5,1.29485820983e-05
2022-06-16 12:00:00,1110.81,1151.85,1080.99,1114.81,1663026.5,1.29485820983e-05
2022-06-16 16:00:00,1114.77,1134.3,1092.15,1096.32,908138.5,1.29485820983e-05
2022-06-16 20:00:00,1096.24,1119.84,1050.22,1068.35,733077.7,1.29485820983e-05
2022-06-17 00:00:00,1068.44,1117.67,1050.28,1071.78,1107548.9,1.29485820983e-05
2022-06-17 04:00:00,1071.69,1119.0,1067.21,1099.29,867608.4,1.29485820983e-05
2022-06-17 08:00:00,1099.29,1113.41,1085.7,1092.49,736525.3,1.29485820983e-05
2022-06-17 12:00:00,1092.49,1102.32,1063.62,1084.4,1155511.6,1.29485820983e-05
2022-06-17 16:00:00,1084.55,1093.56,1071.4,1080.06,552126.0,1.29485820983e-05
2022-06-17 20:00:00,1080.06,1100.0,1075.0,1086.62,292615.6,1.29485820983e-05
2022-06-18 00:00:00,1086.62,1098.0,1071.2,1079.16,425552.0,1.29485820983e-05
2022-06-18 04:00:00,1079.16,1083.4,985.0,1003.2,1403864.9,1.29485820983e-05
2022-06-18 08:00:00,1003.38,1018.48,974.24,1004.8,1349958.9,1.29485820983e-05
2022-06-18 12:00:00,1004.8,1008.88,987.5,990.21,607212.9,1.29485820983e-05
2022-06-18 16:00:00,990.2,1000.0,912.16,914.5,1540011.4,1.29485820983e-05
2022-06-18 20:00:00,914.69,1016.81,878.73,994.68,2219803.5,1.29485820983e-05
2022-06-19 00:00:00,994.86,1010.0,940.0,952.99,1231372.7,1.29485820983e-05
2022-06-19 04:00:00,952.87,973.64,935.69,955.66,1006573.5,1.29485820983e-05
2022-06-19 08:00:00,955.75,1080.0,952.54,1055.22,1883613.6,1.29485820983e-05
2022-06-19 12:00:00,1055.22,1079.0,1018.0,1071.85,1276943.2,1.29485820983e-05
2022-06-19 16:00:00,1071.83,1131.0,1042.29,1100.0,1066140.1,1.29485820983e-05
2022-06-19 20:00:00,1100.04,1160.0,1097.53,1127.96,844352.8,1.29485820983e-05
2022-06-20 00:00:00,1128.24,1133.45,1052.12,1079.55,1025827.4,1.29485820983e-05
2022-06-20 04:00:00,1079.56,1092.31,1059.88,1079.69,807961.2,1.29485820983e-05
2022-06-20 08:00:00,1079.72,1171.64,1076.36,1152.87,1668578.8,1.29485820983e-05
2022-06-20 12:00:00,1152.79,1154.0,1106.2,1134.18,1293136.0,1.29485820983e-05
2022-06-20 16:00:00,1134.1,1136.47,1083.0,1106.11,983954.1,1.29485820983e-05
2022-06-20 20:00:00,1106.18,1138.91,1090.6,1128.34,596225.8,1.29485820983e-05
2022-06-21 00:00:00,1128.33,1144.22,1108.54,1130.65,812242.4,1.29485820983e-05
2022-06-21 04:00:00,1130.65,1164.9,1117.71,1147.74,963499.3,1.29485820983e-05
2022-06-21 08:00:00,1147.68,1178.0,1137.09,1141.46,916521.7,1.29485820983e-05
2022-06-21 12:00:00,1141.37,1195.0,1135.2,1168.51,1188809.8,1.29485820983e-05
2022-06-21 16:00:00,1168.5,1174.89,1122.02,1124.23,616833.7,1.29485820983e-05
2022-06-21 20:00:00,1124.23,1141.7,1113.27,1125.92,520823.9,1.29485820983e-05
2022-06-22 00:00:00,1125.92,1127.42,1084.66,1089.22,841300.2,1.29485820983e-05
